what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jst.j2ee.ejb,1.1.402.v201102071010,"org.eclipse.jst.j2ee.ejb",1311588838125
started,bundle,org.eclipse.jst.j2ee.jca,1.1.400.v201005270700,"org.eclipse.jst.j2ee.jca",1311588838171
started,bundle,org.eclipse.jst.jee.ejb,1.0.301.v201007070821,"org.eclipse.jst.jee.ejb",1311588838171
started,bundle,org.eclipse.jst.jee.web,1.0.301.v201007070907,"org.eclipse.jst.jee.web",1311588838171
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1311588839921
started,bundle,org.eclipse.jdt.apt.core,3.3.402.R36_v20110120-1000,"org.eclipse.jdt.apt.core",1311588841125
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.301.R36_v20100727-0110,"org.eclipse.jdt.apt.pluggable.core",1311588841140
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.202.v201004211732,"org.eclipse.wst.ws.service.policy.ui",1311588841140
started,bundle,org.eclipse.wst.ws.service.policy,1.0.204.v201011011834,"org.eclipse.wst.ws.service.policy",1311588841140
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1311588841156
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1311588841156
started,bundle,org.eclipse.wst.dtd.core,1.1.401.v201101122255,"org.eclipse.wst.dtd.core",1311588841187
started,bundle,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.ui",1311588841187
started,bundle,org.eclipse.jst.jsf.common,1.2.2.v201101211220,"org.eclipse.jst.jsf.common",1311588841203
started,bundle,org.eclipse.jst.jsf.core,1.3.3.v201102021253,"org.eclipse.jst.jsf.core",1311588841218
started,bundle,org.eclipse.wst.wsdl.validation,1.1.501.v201004201506,"org.eclipse.wst.wsdl.validation",1311588841328
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1311588841406
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311588843625
started,bundle,org.eclipse.ltk.core.refactoring,3.5.101.r362_v20101117-0800,"org.eclipse.ltk.core.refactoring",1311588850015
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1311588850031
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311588861203
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.properties",1311588861265
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311588861562
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311588862156
started,bundle,org.eclipse.wst.html.core,1.1.404.v201101190004,"org.eclipse.wst.html.core",1311588862843
started,bundle,org.eclipse.wst.css.core,1.1.402.v201102031915,"org.eclipse.wst.css.core",1311588862921
activated,editor,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1311588865546
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1311588869796
started,bundle,org.eclipse.jdt.junit.core,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit.core",1311588877281
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311588878062
started,bundle,org.eclipse.jst.server.generic.core,1.0.606.v20100512,"org.eclipse.jst.server.generic.core",1311588880281
started,bundle,org.eclipse.jst.server.preview.adapter,1.1.100.v20100308,"org.eclipse.jst.server.preview.adapter",1311588880281
opened,view,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.ServersView",1311588884546
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311588884671
executed,command,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.launchShortcut.run",1311588885656
started,bundle,org.eclipse.jst.server.tomcat.ui,1.1.200.v20100418,"org.eclipse.jst.server.tomcat.ui",1311588886062
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1311588886203
started,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1311588886406
started,bundle,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser",1311588891171
opened,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1311588891562
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1311588891656
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311588895859
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311589768578
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311589770687
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311590312281
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311590435968
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311590659156
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311590661171
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311590766375
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1311590768562
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1311590771312
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1311590774421
closed,editor,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1311590774421
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1311590774578
closed,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1311590774609
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311590776812
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311590845625
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311590999562
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311591325218
opened,editor,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1311591342250
activated,editor,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1311591342437
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311591426875
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311592777625
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311592778828
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311592806406
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311592808562
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311593822000
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311593847953
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311593847953
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311593848062
