what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.wst.jsdt.ui,1.1.4.v201102160540,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1310097896290
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1310097931446
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1310097934165
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1310097936883
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1310097939337
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1310097939805
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1310097949446
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1310097950446
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1310097950774
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1310097951524
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1310097952055
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1310097952446
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1310097952665
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1310097952930
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1310097953899
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1310097964915
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1310097971055
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1310097971493
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1310097977915
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1310097978305
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1310097986758
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310097988274
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310097994883
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1310097994946
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310097995805
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310097996399
activated,editor,org.eclipse.wst.jsdt.ui,1.1.4.v201102160540,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1310097996462
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310098011165
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310098013805
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310098015946
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310098015962
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310098016055
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310098020305
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1310098025040
activated,editor,org.eclipse.wst.jsdt.ui,1.1.4.v201102160540,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1310098025837
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310098031055
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310098070524
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1310098077446
activated,editor,org.eclipse.wst.jsdt.ui,1.1.4.v201102160540,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1310098091008
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310098105790
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310098143868
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1310098145133
activated,editor,org.eclipse.wst.jsdt.ui,1.1.4.v201102160540,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1310098146149
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1310098151524
closed,editor,org.eclipse.wst.jsdt.ui,1.1.4.v201102160540,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1310098151524
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1310098154618
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1310098162165
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1310098165102
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1310098179337
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1310098179587
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1310098179758
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1310098179915
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1310098180258
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1310098181993
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310098183821
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310098236462
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1310098238508
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineEnd",1310098243321
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1310098273118
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineStart",1310098284290
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1310098286196
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1310098287993
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1310098302196
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1310098308165
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1310098311962
opened,editor,org.eclipse.wst.jsdt.ui,1.1.4.v201102160540,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1310098313993
activated,editor,org.eclipse.wst.jsdt.ui,1.1.4.v201102160540,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1310098314118
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310098342743
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310098342758
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310098342837
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310098919680
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310098921102
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310098924587
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310098943821
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310099082790
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1310099085415
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1310099086383
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1310099094290
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1310099110305
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1310099115368
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310099117368
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310099117383
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310099117727
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310099125055
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310099131321
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310099131337
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310099131399
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310099141837
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1310099148618
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310099156555
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310099159493
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310099160743
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310099160743
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310099160821
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310099166321
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310099172743
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310099178337
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310099180118
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310099184227
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1310099193274
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1310099194305
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1310099212821
activated,editor,org.eclipse.wst.jsdt.ui,1.1.4.v201102160540,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1310099215368
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310099220071
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310099224883
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1310099225071
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310099228743
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310099231993
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310099233633
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310099255415
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310099256696
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310099256712
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310099256805
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310099260821
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1310099269587
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1310099269946
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1310099271274
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310099272008
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310099275290
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineStart",1310099282305
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1310099283212
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310099283993
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310099291415
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1310099306008
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1310099309805
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310099311227
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310099311665
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310099325180
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310099343508
started,bundle,org.eclipse.wst.jsdt.debug.core,1.0.3.v201011040143,"org.eclipse.wst.jsdt.debug.core",1310099343696
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310099344180
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.300.v201004280700,"org.eclipse.jst.j2ee.xdoclet.runtime",1310099345508
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.100.v201003112036,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1310099345571
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.6.1.v200904151730,"org.eclipse.jst.server.generic.jboss",1310099345665
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.205.v200805140145,"org.eclipse.jst.server.generic.jonas",1310099345821
stopped,bundle,org.eclipse.jst.server.generic.oc4j,1.5.206.v20090812,"org.eclipse.jst.server.generic.oc4j",1310099345852
stopped,bundle,org.eclipse.jst.server.websphere.core,1.0.302.v20080620,"org.eclipse.jst.server.websphere.core",1310099345915
stopped,bundle,org.eclipse.jst.server.generic.ui,1.0.505.v20100428,"org.eclipse.jst.server.generic.ui",1310099345977
stopped,bundle,org.eclipse.jst.server.generic.core,1.0.606.v20100512,"org.eclipse.jst.server.generic.core",1310099345977
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1310099346055
stopped,bundle,org.eclipse.datatools.connectivity.oda.template.ui,3.2.1.v201004090942,"org.eclipse.datatools.connectivity.oda.template.ui",1310099346149
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.201.v20100820_r361,"org.eclipse.pde.api.tools.ui",1310099346149
stopped,bundle,org.eclipse.pde.ds.ui,1.0.100.v20100601,"org.eclipse.pde.ds.ui",1310099346196
stopped,bundle,org.eclipse.pde.runtime,3.4.200.v20100601,"org.eclipse.pde.runtime",1310099346227
